loudness,acousticness
-10.703,0.766
-4.656,0.483
-22.565,0.789
-7.35,0.649
-14.248,0.981
-9.685,0.264
-14.093,0.804
-8.153,0.89
-14.792,0.961
-4.74,0.507
-11.432,0.925
-8.067,0.983
-5.425,0.00081
-11.69,0.553
-11.15,0.793
-12.045,0.913
-8.313,0.874
-23.963,0.995
-8.737,0.114
-8.015,0.341
-16.449,0.756
-5.769,0.388
-15.032,0.801
-12.434,0.0238
-6.14,0.0309
-17.101,0.989
-10.505,0.911
-11.135,0.618
-8.039,0.279
-9.338,0.903
-12.794,0.538
-18.961,0.96
-12.425,0.931
-9.599,0.932
-10.554,0.526
-18.04,0.637
-12.995,0.108
-11.23,0.987
-8.886,0.126
-6.378,0.298
-16.59,0.317
-7.69,0.0381
-4.171,0.0678
-11.671,0.74
-13.757,0.845
-10.302,0.972
-6.677,0.901
-10.312,0.732
-22.171,0.909
-15.099,0.956
-11.242,0.709
-12.269,0.5
-16.081,0.991
-19.101,0.67
-15.182,0.983
-9.446,0.906
-11.723,0.89
-19.07,0.987
-13.713,0.925
-12.372,0.455
-5.741,0.00506
-6.403,0.476
-11.774,0.827
-16.159,0.955
-13.637,0.578
-24.691,0.96
-13.689,0.891
-6.015,0.156
-9.707,0.463
-9.314,0.674
-6.653,0.0682
-10.655,0.509
-11.979,0.945
-8.886,0.871
-5.803,0.616
-6.795,0.2
-7.585,0.654
-13.706,0.804
-6.233,0.368
-20.313,0.987
-24.453,0.982
-22.111,0.904
-12.337,0.698
-18.161,0.944
-13.239,0.207
-6.759,0.244
-6.087,0.308
-10.578,0.399
-3.411,0.591
-17.383,0.6
-6.021,0.301
-10.001,0.0468
-7.638,0.569
-24.292,0.946
-5.943,0.804
-5.403,0.181
-9.165,0.957
-8.59,0.871
-5.681,0.0492
-7.979,0.301
-10.145,0.0531
-5.694,0.468
-13.486,0.924
-9.972,0.764
-6.859,0.619
-6.059,0.463
-11.924,0.989
-13.415,0.814
-8.941,0.77
-11.194,0.989
-18.699,0.761
-15.393,0.983
-10.602,0.862
-14.896,0.745
-10.681,0.988
-13.416,0.512
-6.118,0.517
-6.243,0.326
-17.002,0.545
-7.923,0.00255
-8.339,0.57
-11.88,0.698
-17.04,0.908
-9.444,0.885
-9.817,0.909
-6.147,0.311
-12.718,0.896
-12.895,0.947
-12.489,0.751
-14.223,0.446
-13.527,0.625
-7.302,0.58
-8.683,0.012
-9.984,0.751
-7.603,0.545
-5.482,0.415
-7.987,0.167
-9.347,0.362
-13.535,0.989
-7.326,0.152
-23.864,0.93
-9.406,0.0413
-16.338,0.744
-12.567,0.534
-9.936,0.663
-14.133,0.34
-22.275,0.987
-13.246,0.547
-20.397,0.652
-10.543,0.211
-14.827,0.98
-9.316,0.739
-6.76,0.00412
-5.983,0.184
-6.32,0.000905
-10.455,0.0355
-6.648,0.432
-14.768,0.959
-13.401,0.722
-3.974,0.538
-12.216,0.927
-7.611,0.946
-9.235,0.821
-10.09,0.811
-9.48,0.741
-5.608,0.421
-11.666,0.613
-6.882,0.0282
-20.191,0.955
-21.518,0.936
-10.229,0.901
-8.72,0.832
-7.661,0.729
-6.894,0.839
-17.552,0.773
-9.588,0.407
-7.318,0.793
-16.433,0.523
-15.063,0.655
-17.977,0.988
-12.691,0.473
-13.736,0.954
-9.27,0.546
-12.714,0.814
-9.652,0.651
-13.362,0.458
-10.68,0.945
-10.368,0.897
-6.323,0.857
-9.477,0.196
-5.265,0.215
-4.022,0.669
-13.68,0.757
-11.674,0.813
-13.268,0.642
-6.289,0.341
-6.45,0.492
-11.081,0.813
-9.763,0.159
-6.248,0.249
-13.515,0.723
-10.688,0.717
-13.45,0.949
-15.419,0.782
-10.233,0.785
-7.712,0.78
-14.631,0.973
-7.754,0.802
-11.222,0.302
-12.023,0.599
-15.003,0.793
-9.263,0.668
-7.124,0.656
-8.252,0.835
-7.963,0.36
-9.483,0.83
-3.561,0.863
-7.921,0.782
-9.487,0.715
-10.649,0.83
-3.555,0.861
-7.451,0.846
-11.138,0.822
-9.789,0.69
-9.962,0.83
-7.54,0.628
-8.72,0.845
-7.401,0.703
-17.74,0.97
-11.094,0.524
-11.685,0.691
-17.929,0.971
-18.035,0.967
-21.241,0.984
-22.201,0.973
-19.459,0.98
-9.709,0.793
-14.632,0.962
-9.489,0.733
-15.882,0.97
-15.03,0.928
-7.662,0.574
-11.938,0.784
-19.858,0.974
-19.158,0.985
-11.754,0.771
-10.43,0.83
-13.997,0.914
-16.531,0.947
-17.571,0.984
-17.343,0.984
-17.002,0.939
-14.046,0.909
-12.685,0.815
-14.499,0.89
-11.441,0.881
-12.998,0.894
-7.568,0.74
-4.843,0.491
-20.169,0.967
-18.865,0.975
-19.874,0.977
-18.478,0.983
-17.48,0.97
-16.809,0.974
-16.36,0.965
-19.452,0.98
-19.338,0.982
-13.345,0.834
-25.28,0.977
-29.368,0.992
-7.015,0.562
-4.906,0.599
-22.447,0.99
-18.92,0.976
-19.158,0.859
-14.521,0.693
-17.609,0.974
-18.562,0.972
-14.685,0.965
-15.025,0.978
-18.935,0.915
-18.068,0.967
-14.629,0.9
-13.451,0.878
-22.879,0.991
-14.808,0.923
-16.953,0.992
-14.226,0.905
-15.022,0.948
-14.464,0.95
-15.172,0.948
-15.196,0.895
-6.217,0.869
-7.704,0.49
-6.999,0.434
-9.044,0.929
-6.09,0.575
-9.466,0.894
-8.501,0.832
-8.897,0.8
-6.649,0.484
-6.351,0.894
-7.453,0.427
-7.625,0.614
-7.151,0.569
-8.254,0.79
-9.499,0.582
-15.692,0.98
-19.249,0.975
-20.471,0.989
-5.298,0.223
-7.562,0.154
-6.784,0.655
-18.65,0.955
-19.456,0.918
-18.764,0.901
-21.115,0.958
-21.219,0.951
-20.253,0.965
-19.271,0.954
-18.014,0.957
-21.525,0.956
-21.84,0.968
-7.199,0.422
-7.458,0.544
-9.573,0.619
-5.169,0.111
-8.797,0.684
-4.532,0.24
-5.881,0.0319
-9.5,0.81
-6.679,0.00836
-4.525,2.86e-05
-5.863,0.0209
-13.496,0.0576
-5.835,0.00847
-8.175,0.0754
-9.481,0.443
-8.602,0.71
-2.81,0.0495
-5.426,0.00821
-3.243,0.0272
-11.46,0.69
-8.939,0.152
-6.96,0.571
-4.169,0.13
-12.901,0.199
-4.528,0.0293
-14.09,0.173
-13.299,0.469
-5.189,0.291
-7.972,0.0566
-11.005,0.657
-5.375,0.0181
-5.563,0.00537
-6.032,0.00761
-4.127,0.06
-10.992,0.476
-10.151,0.773
-4.396,0.197
-9.782,0.54
-4.973,0.0655
-5.108,0.096
-8.881,0.241
-6.227,0.0173
-7.876,0.0925
-10.428,0.583
-5.592,0.0167
-4.939,0.0912
-9.621,0.288
-6.241,0.0271
-3.924,0.0047
-6.588,0.277
-9.833,0.78
-11.522,0.879
-14.976,0.841
-14.701,0.94
-14.924,0.702
-6.907,0.312
-11.091,0.468
-3.306,0.0872
-10.631,0.858
-2.57,0.00994
-6.411,0.426
-10.494,0.446
-4.328,0.3
-7.98,0.641
-9.412,0.0442
-7.483,0.419
-7.011,0.0408
-4.066,0.00376
-12.9,0.0675
-7.071,0.00667
-13.103,0.357
-7.662,0.212
-4.279,0.0298
-6.795,0.278
-4.385,0.000464
-6.15,0.0336
-4.076,0.00658
-7.627,0.295
-14.995,0.56
-5.883,0.162
-4.312,0.0474
-3.269,0.00251
-6.931,0.726
-5.581,0.0446
-11.4,0.157
-6.78,0.00549
-6.898,0.138
-4.391,0.00112
-5.945,0.00625
-4.854,0.439
-5.925,0.0578
-5.281,0.0328
-12.526,0.418
-5.814,0.165
-7.28,0.0291
-5.619,0.0389
-4.401,0.00134
-6.168,0.354
-13.8,0.91
-3.822,0.344
-14.644,0.123
-5.508,0.0125
-6.457,0.405
-4.114,0.205
-13.853,0.732
-4.162,0.252
-6.885,0.103
-5.302,0.0127
-4.34,0.0393
-12.32,0.53
-6.337,0.00618
-8.29,0.0531
-11.088,0.58
-5.2,0.154
-12.003,0.592
-4.2,0.412
-12.043,0.0893
-4.952,0.00192
-11.275,0.49
-7.734,0.282
-5.871,0.272
-6.528,0.0478
-6.568,0.0485
-10.557,0.863
-11.92,0.758
-6.293,0.00776
